GeneSymbol	Status
WDR70	UP
IPO11	UP
TRIP13	UP
FASTKD3	UP
GUSBP1	UP
C1QTNF3-AMACR	UP
SKP2	UP
C5orf42	UP
NUP155	UP
FYB	UP
DEPDC1B	UP
ADAMTS6	UP
RAD17	UP
SMA4	UP
SMA5	UP
MAP1B	UP
POC5	UP
FAM151B	UP
XRCC4	UP
TMEM161B	UP
ARRDC3-AS1	UP
SLF1	UP
LNPEP	UP
CAMK4	UP
STARD4-AS1	UP
TH2LCRR	UP
C5orf66	UP
CDC25C	UP
PCDHAC1	UP
PCDHA1	UP
PCDHGB3	UP
JAKMIP2	UP
PDE6A	UP
SLC36A1	UP
TIMD4	UP
ATP10B	UP
DOCK2	UP
RANBP17	UP
LINC01484	UP
GPRIN1	UP
CPLX2	UP
NSD1	UP
CNOT6	UP
CEP72	UP
LPCAT1	UP
FAM173B	UP
C5orf22	UP
RAD1	UP
LMBRD2	UP
NADK2	UP
NIPBL-AS1	UP
C5orf51	UP
LOC153684	UP
LOC100132356	UP
LOC100506639	UP
EMB	UP
GZMK	UP
GZMA	UP
RNF138P1	UP
MIR5687	UP
SLC38A9	UP
GAPT	UP
ERCC8	UP
CCNB1	UP
LOC100272216	UP
NAIP	UP
PTCD2	UP
SNORA47	UP
AGGF1	UP
MTRNR2L2	UP
SCARNA18	UP
TMEM167A	UP
LOC644285	UP
POU5F2	UP
GIN1	UP
SNORA13	UP
LOC101927190	UP
SEMA6A-AS1	UP
MIR5706	UP
LMNB1	UP
CCNI2	UP
PITX1	UP
C5orf66-AS2	UP
TIFAB	UP
DCANP1	UP
CDC23	UP
KIF20A	UP
SNORA74A	UP
MZB1	UP
VTRNA1-2	UP
VTRNA1-1	UP
SLC25A2	UP
PCDHGB8P	UP
PCDHGA8	UP
LOC100505658	UP
ARHGAP26-AS1	UP
ARHGAP26-IT1	UP
PRELID2	UP
CSF1R	UP
CTB-113P19.1	UP
SAP30L-AS1	UP
MED7	UP
HAVCR2	UP
ADAM19	UP
UBLCP1	UP
ZBED8	UP
LOC728095	UP
SPDL1	UP
MIR378E	UP
C5orf58	UP
SNORA74B	UP
HK3	UP
DOK3	UP
ZNF879	UP
ZFP62	UP
SNORD95	UP
F13A1	UP
DNAH8	UP
EYS	UP
TTK	UP
CEP162	UP
IGF2R	UP
IRF4	UP
EXOC2	UP
GCM2	UP
KDM1B	UP
GUSBP2	UP
ZNRD1-AS1	UP
GRM4	UP
MAPK14	UP
PPIL1	UP
LRFN2	UP
APOBEC2	UP
UBR2	UP
TRERF1	UP
TDRD6	UP
LOC101926915	UP
PRIM2	UP
ZNF451	UP
LOC101927211	UP
COL19A1	UP
LOC101928540	UP
MMS22L	UP
FBXL4	UP
ASCC3	UP
SCML4	UP
LACE1	UP
CEP57L1	UP
LOC100996634	UP
ARMC2	UP
KPNA5	UP
THEMIS	UP
TMEM244	UP
SAMD3	UP
SHPRH	UP
TFB1M	UP
HTATSF1P2	UP
LOC101927950	UP
LY86	UP
SSR1	UP
PIP5K1P1	UP
BLOC1S5	UP
EEF1E1	UP
SCARNA27	UP
SLC35B3	UP
ERVFRD-1	UP
LOC100130357	UP
LOC101928491	UP
MRS2	UP
ACOT13	UP
C6orf62	UP
TDP2	UP
HIST1H1A	UP
HIST1H3B	UP
HIST1H4B	UP
HIST1H2BB	UP
TRIM38	UP
HIST1H2AB	UP
HIST1H4A	UP
HIST1H3A	UP
HIST1H3C	UP
HIST1H1E	UP
HIST1H2BF	UP
HIST1H2BC	UP
HIST1H2AD	UP
HIST1H4C	UP
HIST1H4D	UP
HIST1H4E	UP
HIST1H2BE	UP
HIST1H1D	UP
HIST1H2AE	UP
HIST1H2BI	UP
HIST1H2BH	UP
HIST1H4H	UP
HIST1H3F	UP
HIST1H4F	UP
HIST1H3G	UP
ZNF322	UP
HIST1H2AH	UP
HIST1H2BJ	UP
HIST1H2AG	UP
HIST1H3H	UP
HIST1H2AI	UP
HIST1H2BM	UP
HIST1H2BL	UP
HIST1H2AJ	UP
HIST1H3I	UP
HIST1H3J	UP
HIST1H1B	UP
HIST1H2AM	UP
HIST1H2BN	UP
HIST1H4K	UP
HIST1H2AL	UP
HIST1H4L	UP
HIST1H2AK	UP
HIST1H4J	UP
HIST1H2BO	UP
ZSCAN16	UP
ZKSCAN4	UP
ZSCAN12	UP
ZKSCAN3	UP
HCG8	UP
TCF19	UP
SNORD84	UP
LST1	UP
SNORD117	UP
SNORA38	UP
C6orf10	UP
LOC100294145	UP
HLA-DMB	UP
HLA-DOA	UP
KIFC1	UP
UHRF1BP1	UP
CPNE5	UP
FGD2	UP
TSPO2	UP
TREM1	UP
TREML2	UP
MED20	UP
ZNF318	UP
ABCC10	UP
PLA2G7	UP
CENPQ	UP
BAG2	UP
MTRNR2L9	UP
KCNQ5-IT1	UP
LCAL1	UP
CYB5R4	UP
SNORD50A	UP
SNORD50B	UP
SMIM8	UP
GJB7	UP
LOC101929057	UP
MANEA	UP
MANEA-AS1	UP
POU3F2	UP
USP45	UP
RTN4IP1	UP
C6orf203	UP
ARMC2-AS1	UP
CCDC162P	UP
ZBTB24	UP
CDC40	UP
KIAA1919	UP
FRK	UP
TPI1P3	UP
COL10A1	UP
FAM26F	UP
ZUFSP	UP
BRD7P3	UP
ASF1A	UP
NCOA7-AS1	UP
LOC101928140	UP
MED23	UP
STX7	UP
VNN2	UP
SNORD100	UP
PBOV1	UP
LOC285740	UP
LOC100128176	UP
ZC3H12D	UP
NUP43	UP
LRP11	UP
MIR1273C	UP
CLDN20	UP
TAGAP	UP
SNORA20	UP
AIRN	UP
MIR4644	UP
NFE2L3	UP
NPSR1-AS1	UP
AOAH	UP
VOPP1	UP
TRRAP	UP
ZKSCAN1	UP
COG5	UP
NAPEPLD	UP
POT1-AS1	UP
MKLN1	UP
GRM8	UP
AMZ1	UP
PMS2	UP
LOC100505921	UP
SNX13	UP
IGF2BP3	UP
SNX10	UP
