	TNBC1	TNBC2	TNBC3	TNBC4	TNBC5	TNBC6	NonTNBC1	NonTNBC2	NonTNBC3	NonTNBC4	NonTNBC5	NonTNBC6	HER2_1	HER2_2	HER2_3	HER2_4	HER2_5	NBS1	NBS2	NBS3
LOC100130691	38.0669931054236	45.8380297961208	65.1996580943242	15.3865875172415	32.6431883647834	38.2757120800721	31.8398876622685	24.2814550638238	30.5776982150174	46.2783279663252	39.4672733983594	49.0594586097814	33.6990741887585	10.0387606725804	32.3550664092015	30.3291767217794	15.4645006626739	10.6324044430162	16.296708121476	11.7932476452339
TTC30A	58.8606721645637	113.095074490302	138.737448275096	77.3595798992051	116.271614757425	130.863771117671	178.464616723229	160.089942936129	194.599479225569	135.850672421447	250.628050776588	285.659870227167	251.692902113815	108.561252003707	82.2909129127446	237.030041237177	102.251504638717	35.9808371877957	43.1818314864944	55.3979681319787
TTC30B	65.1891831825629	45.8380297961208	73.3705236699655	50.7997260212207	102.710248315375	59.9196739330172	142.755273114287	130.01806347869	117.518205089463	79.7449182023046	140.136946334491	141.481494397823	124.529835824199	45.2899272956442	76.4844191332629	135.07623644242	73.3225033133694	13.6742163723898	22.322684048118	16.5422766091368
LOC101927027	212.553082601686	131.777586905352	164.417311512825	105.026094355439	159.215941823917	190.985887375851	299.659964729337	116.43721469146	107.658972351124	142.740852764148	126.223251701042	317.699509300354	135.429527220452	113.080632339997	151.968838266526	115.523451961234	56.7916454131706	43.078398356334	46.8901243644279	46.3316401099822
DFNB59	14.5610950385696	15.9460099320403	9.17086557564126	14.2799269389922	17.9517080525625	20.2390772026179	17.7725704829881	16.5209700425492	22.5110532472854	26.592098415749	20.6428630119282	30.5750514521732	21.5883059706998	31.7317862867735	21.9033776061343	14.9662746294187	23.7299296127732	32.9390252584222	34.8381725111438	28.6307139717987
NEUROD1	16.3692410437122	4.73650248301007	12.6726651080589	3.2133211564987	8.91079709119585	5.80976930065447	2.62315198222466	6.82036376595595	9.96293885303559	9.85880329775927	10.8214315059641	3.46458762101443	2.21107682180587	1	1	3.79325492588375	1	1	1	1
DUSP19	97.73581127513	64.5205422111711	95.5485873752775	55.2263683342181	115.141500887254	146.495521344798	91.3554603438392	77.6347895850867	93.3182701862666	87.6194100225351	100.851220310635	65.0792781463752	48.231996050429	24.5007777487091	25.3872738738234	44.2954513511981	71.2561460758445	20.771777540928	14.4425616825092	20.8595756672303
DIRC1	11.8488760308557	4.73650248301007	30.1816627701474	6.53330289124675	5.52045548068334	8.2146539509817	2.62315198222466	5.85030313829663	9.96293885303559	5.92155738764404	5.09226312748504	1	1	1	3.3225975117927	3.79325492588375	3.06635723752484	2.01393730979118	1.4635366097417	1.86345981161871
OSGEPL1	99.5439572802726	68.2570446941812	103.719452950919	61.8663318037142	54.1153518980293	111.624693915053	132.475310560197	85.3952746063613	125.584850057195	108.28995105064	122.130988573557	227.742061133328	165.706447765598	136.581410088707	99.7103942511899	87.5909027023962	106.384219113767	41.0505237367517	38.5464653890774	32.0845532182735
C2orf88	74.2299132082759	30.8920198640805	40.6870613674004	39.7331202387272	123.05229797845	45.4903660310538	41.0377488948749	137.778548499965	126.481143942498	90.5723444551215	69.7500205417487	62.6146905253608	179.028292805463	200.756610864028	200.743386014173	203.510982126572	52.658930938121	156.639377052946	173.435618823911	140.448759576421
