	TNBC1	TNBC2	TNBC3	TNBC4	TNBC5	TNBC6	NonTNBC1	NonTNBC2	NonTNBC3	NonTNBC4	NonTNBC5	NonTNBC6	HER2_1	HER2_2	HER2_3	HER2_4	HER2_5	NBS1	NBS2	NBS3
STRBP	1321.85065675668	1050.95719772583	430.554075976569	673.849631575605	580.748415397639	990.610033609657	1151.27370473654	1104.92899427631	1072.96748682306	566.979099579064	870.196688277823	1607.91112890141	888.719310383703	1307.10091718787	1055.45927035389	784.508006710391	620.907171257452	463.355413264779	354.214896623172	424.958767504786
SCAI	303.864455861388	79.4665521432114	163.250045002019	200.198904084883	108.360817666229	139.280867393816	152.494185007635	389.994311691389	355.932378580209	312.042426899103	275.181629541498	199.399303491662	286.814129946185	658.117900896598	338.937937965838	319.431061550747	160.109507289413	75.5243922696518	128.472567678966	118.862264285954
MVB12B	170.965724483406	86.9395571092316	178.424509642496	169.212407893901	133.223322809988	62.3245585833445	128.687955935006	178.521094861657	129.170025598409	197.862295505762	124.586346450048	174.753427281517	193.561214667133	168.217072442738	240.227543714648	221.667139144816	166.308579001987	94.7892011556843	93.2437853385975	92.9584699373925
STXBP1	141.131315398553	154.196601803413	158.580978958796	114.986039559683	86.8886541329835	136.875982743489	167.102552847656	271.646915116952	227.7623529818	196.877984028233	226.074472011677	206.793066354705	122.107682180587	96.8108631293527	146.162344487044	49.8819612029656	234.498367840307	724.444270536008	633.263935687674	1224.52255306371
CIZ1	478.350545357651	247.609163878664	211.107971945061	251.105290684353	254.145506918267	302.813023616068	171.430958133589	338.581098425445	275.265928902889	318.932607241805	175.330409230863	309.073452626804	242.004287539368	311.933367136767	316.873261603808	288.705257366026	224.166581652683	1572.09586152144	1234.47091852265	1421.82312001859
NTMT1	172.773870488549	169.142611735453	71.0359906483537	207.945528132628	114.011387017084	108.017366939562	120.572196023883	114.497093436141	87.9405068744452	85.6507870674775	126.223251701042	84.7959791144907	56.70953380307	102.234119532901	81.1296141568483	48.4853337400237	137.379577676639	242.317079730301	254.090988918966	305.801313501404
PTGES	230.634542653112	363.440740851977	132.901115721066	92.852827994696	136.6136644205	216.237176204287	510.1286717578	540.353708978585	242.103055146657	162.427082314724	104.94348343812	665.206363863389	72.4535324865464	78.7333417841918	39.3228589445796	56.865098517675	370.877945516946	367.538337489512	491.885269716456	924.901998432019
LAMC3	103.160249290558	34.6285223470906	116.559384569784	46.3730837082233	75.5875154312752	61.1221162581808	12.3620638755726	47.5629101276476	39.540637068053	119.117377303457	49.2887049043235	19.4844071576082	47.0209192286231	4.61550426903218	12.6129875589635	13.5696471664769	38.1944302754471	88.7055772969372	288.856234649593	171.533312794695
GTF3C5	773.078344195897	329.812218504886	223.947903563926	651.716420010618	352.46541362313	703.226317895552	256.375911870013	446.25782809563	373.858256286281	245.109246427144	403.678691744528	291.821339279703	237.159980252145	405.936478131604	295.969883997673	269.15247288484	315.086300103775	719.374583987052	681.47174310081	517.780697253797
INPP5E	129.378366365126	109.358572007292	58.1960590294888	150.399178063662	103.840362185546	73.146539509817	58.3513700386045	161.060003563789	120.207086745373	94.5095903652367	81.2083572987069	77.4022162514474	73.6646093083522	99.5224913311268	88.0974066922264	66.6414907582681	85.7206467385184	223.559239499164	208.66440116428	191.824618367735
PNPLA7	160.11684845255	68.2570446941812	61.6978585619065	39.7331202387272	54.1153518980293	43.0854813807266	21.0188744474374	119.347396574438	79.8738619067132	83.6821641124198	66.4762100397607	103.280386272099	55.4984569812642	66.9829529098372	74.1618216214702	93.1774125541637	81.5879322634687	340.668998780046	348.18892069653	368.83387974957
EXD3	73.3258402057046	64.5205422111711	29.0143962593415	70.719616429709	56.375579638371	52.7050199820355	52.940863431189	152.329457914855	101.384915153999	118.133065825928	88.5744309281799	103.280386272099	56.70953380307	29.0201580849994	32.3550664092015	56.865098517675	89.8533612135681	216.968646985522	256.872208577416	172.828502512123
WASH1	31.7384820874245	27.1555173810705	30.1816627701474	56.3330289124675	38.2937577156376	41.883039055563	29.6756850193023	57.2635164042409	61.947984200642	34.4665902359795	51.7440627808145	19.4844071576082	24.0104596143115	27.2124059504833	12.6129875589635	30.3291767217794	31.9953585628726	92.2543578812063	94.1708585580809	56.2614279435974
DMRT2	25.4099710694253	4.73650248301007	15.0071981296707	5.4266423129974	4.39034161051251	11.8219809264726	5.86945594667397	16.5209700425492	13.5481143942498	45.2940164887963	5.09226312748504	2.23229381050722	9.47753775264109	1.90387606725804	4.48389626768906	5.18988238882562	11.3317861876242	23.8135894703016	27.4215867552767	45.8999102041729
ERMP1	952.084798705016	1036.01118779379	3014.88213090082	795.582295183033	489.209191913801	762.145991828569	575.595801707528	734.36583451045	1568.61800539592	1090.63280562439	1434.92899987076	803.223270640197	1988.37706458343	789.179930649015	1962.43359870894	799.870908802752	1825.59344073443	412.65854777522	293.955137356752	379.195397488995
LURAP1L	53.4362341491359	57.047537245151	304.489292809533	256.6385935756	238.323912735876	93.5880590375985	137.885817167613	422.976373031807	1049.66384580516	502.014542062163	614.839469122757	113.138736756157	451.520577711784	87.7721024567722	109.000784298361	156.025648386548	426.669590930117	616.966915698143	1281.28811610656	1208.11681664295
PLIN2	783.023147224181	1435.81695347587	610.313118640677	1293.57955539524	830.503580705394	1144.5226512306	394.343830359108	252.245702563765	286.021455526532	995.154592304096	233.44054564115	183.379483955068	693.735942072958	612.020221466438	696.617954781915	785.904634173333	472.129450155663	2315.81887825327	4527.89853073741	3485.4920697873
SCARNA8	7.32851101799916	4.73650248301007	6.83633255402947	3.2133211564987	10.0409109613667	1	11.821013214831	10.7006062765933	9.06664496773203	11.8274262528169	23.9166735139162	20.7167009681155	255.326132579233	99.5224913311268	74.1618216214702	111.333569572408	11.3317861876242	1.50696865489559	2.39060982922509	1
RPS6	8605.06276547114	13179.6442575765	5615.55191697635	10591.7417338463	11315.7000681504	6379.95653499299	5383.9130237177	7797.377264498	7208.09913172592	5723.78693035249	10070.4226514897	7317.12835298134	6439.08438472001	3640.90892284814	10277.3326909268	4954.83761105483	6526.55615610344	24149.9449072966	21518.8329608193	13907.4519960251
MIR4473	1.90407300257131	1	2.16726651080589	1	3.26022774034167	1	1	1	4.58517554121424	1.98431147752881	1.81845262549701	2.23229381050722	9.47753775264109	5.51938033629022	6.80649377948176	5.18988238882562	5.13271447504968	1	1	1
MIR491	2.80814600514262	1	1	2.10666057824935	1	1	1	3.91018188297798	3.68888165591068	4.93724591011523	1	2.23229381050722	2.21107682180587	8.23100853806435	5.64519502358541	10.7763922405931	5.13271447504968	1	1.4635366097417	1
IFNE	2.80814600514262	4.73650248301007	6.83633255402947	2.10666057824935	1	2.20244232516362	1.54105066074155	1.97006062765933	2.79258777060712	3.95293443258642	1	1	1	1.90387606725804	1	2.39662746294187	1	8.60452982343386	5.63536609741696	4.88556915228419
MTAP	833.651235368175	453.116800444218	586.967788424559	469.117424599475	611.261489892251	578.172316078536	324.548295123448	460.80873751052	308.428802659121	344.524705657554	262.904840159043	284.42757641666	680.414097033093	947.358242419172	448.100021020095	361.329885439003	408.072375792393	203.787461958236	233.695378090331	288.963847174839
TUSC1	100.448030282844	284.974188708765	265.969497952938	244.465327214857	315.171655907492	141.685752044143	138.426867828354	361.862553489269	271.680753361675	156.521213449552	238.351261394133	137.784612966301	84.5643007046051	50.7131836991924	73.0005228655738	84.7976477765124	131.180505964065	225.080145463851	201.247815408413	241.041827630001
TAF1L	33.5466280925671	8.47300496602014	74.5377901807714	12.0666057824935	8.91079709119585	14.2268655767998	9.11575991112328	12.6407275319119	14.4444082795534	23.6391639831626	15.7321472589462	2.23229381050722	3.42215364361174	3.71162820177413	3.3225975117927	3.79325492588375	3.06635723752484	1	1	1
TMEM215	10.9448030282844	4.73650248301007	19.6762641728943	8.74662404774545	3.26022774034167	5.80976930065447	3.70525330370776	10.7006062765933	22.5110532472854	20.6862295505762	10.8214315059641	3.46458762101443	5.84430728722348	6.42325640354827	4.48389626768906	24.7426668700119	29.9290013253477	1.50696865489559	1	1
BAG1	322.849988915386	501.691332723349	648.832913497272	607.449996880644	397.669968429963	367.744909174903	956.495466869581	760.557471457252	784.360855755311	337.634525314852	1274.51228527335	2665.2192183166	263.803670331874	273.970572311929	334.292742942253	255.186198255421	480.394879105763	1736.8606743625	914.630657800883	1013.83835902875
AQP7	51.6280881439932	4.73650248301007	114.224851548172	13.1732663607428	25.8625051437584	26.251288828436	17.2315198222466	35.9221825957357	31.473992100321	180.144688910243	37.0119155218684	15.7875257260866	13.1107682180587	2.80775213451609	3.3225975117927	3.79325492588375	15.4645006626739	28.3763073643619	50.5984172423615	30.7893635008455
SNORD121A	3.71221900771392	4.73650248301007	3.33453302161179	3.2133211564987	1	3.40488465032723	3.70525330370776	1.97006062765933	2.79258777060712	1.98431147752881	1	5.92917524202886	2.21107682180587	3.71162820177413	3.3225975117927	2.39662746294187	3.06635723752484	1	1	1
KIF24	321.945915912814	68.2570446941812	226.282436585538	121.626003029179	98.1897928346919	159.722386921597	112.45643611276	145.53903352124	119.31079286007	159.474147882138	141.773851585485	167.359664418474	191.139061023522	245.046538159672	289.002091462295	256.582825718363	112.583290826341	25.8414640898839	42.254758267011	30.7893635008455
KIAA1161	673.630313913053	206.507636565554	455.066672703493	183.598995411143	366.02678006518	290.788600364432	297.495762086371	255.155884446743	318.28803539746	163.411393792253	210.523872127234	150.107551071373	156.017833191151	358.934922634186	220.485464864411	132.282981516536	186.972151377235	69.9477370658003	57.5514663884869	91.6632802199644
