GeneSymbol Status
C3orf30 UP
UPK1B UP
NR1I2 UP
GTF2E1 UP
FBXO40 UP
EAF2 UP
CD86 UP
CASR UP
WDR5B UP
PARP9 UP
PARP15 UP
LOC100129550 UP
HACD2 UP
MYLK-AS2 UP
UMPS UP
ALDH1L1-AS2 UP
CCDC37 UP
C3orf22 UP
NUP210P1 UP
C3orf56 UP
MCM2 UP
DNAJB8 UP
LINC01565 UP
MBD4 UP
SNORA7B UP
RHO UP
TMCC1-AS1 UP
ALG1L2 UP
SNORA58 UP
TMEM108-AS1 UP
CLDN18 UP
A4GNT UP
ESYT3 UP
FOXL2NB UP
LINC01391 UP
PRR23A UP
BPESC1 UP
PISRT1 UP
RBP2 UP
PLSCR2 UP
PLSCR5 UP
ZIC4 UP
ZIC1 UP
HPS3 UP
HLTF-AS1 UP
COMMD2 UP
CLRN1 UP
P2RY13 UP
AADACL2 UP
P2RY1 UP
KCNAB1-AS2 UP
PA2G4P4 UP
MFSD1 UP
IQCJ-SCHIP1-AS1 UP
C3orf80 UP
SMC4 UP
TRIM59 UP
SCARNA7 UP
SLITRK3 UP
PDCD10 UP
TERC UP
LRRC34 UP
SAMD7 UP
SLC2A2 UP
LINC01208 UP
LINC01209 UP
LINC01014 UP
ACTL6A UP
TTC14 UP
LINC01206 UP
LINC00888 UP
HTR3D UP
ABCC5 UP
HTR3C UP
LOC101928992 UP
LOC344887 UP
LOC253573 UP
KNG1 UP
SNORA63 UP
LOC101929106 UP
FLJ42393 UP
LPP-AS1 UP
TPRG1-AS1 UP
MGC2889 UP
LINC00887 UP
LRRC15 UP
LOC100507391 UP
XXYLT1-AS1 UP
PCYT1A UP
TM4SF19-AS1 UP
FBXO45 UP
CEP19 UP
LINC01063 UP
DLG1-AS1 UP
TMEM33 UP
OTOP1 UP
KCNIP4 UP
NCAPG UP
CISD2 UP
TMEM155 UP
MARCH1 UP
TENM3 UP
NEIL3 UP
LINC01396 UP
JAKMIP1 UP
CLNK UP
SEL1L3 UP
DTHD1 UP
FAM114A1 UP
GABRA4 UP
FRYL UP
LOC100507388 UP
ART3 UP
PRKG2 UP
BMPR1B UP
MTTP UP
CENPE UP
TET2-AS1 UP
ELOVL6 UP
CCDC109B UP
ZGRF1 UP
IL21-AS1 UP
SPATA5 UP
LOC101927087 UP
MFSD8 UP
SCOC UP
MND1 UP
C4orf45 UP
DDX60 UP
C4orf27 UP
LINC01098 UP
FAT1 UP
SCARNA22 UP
LINC00955 UP
STX18-IT1 UP
LOC285484 UP
MIR4274 UP
PSAPL1 UP
AFAP1-AS1 UP
LINC01096 UP
CD38 UP
CLRN2 UP
KCNIP4-IT1 UP
PI4K2B UP
CCKAR UP
LOC439933 UP
TLR1 UP
TLR6 UP
LOC344967 UP
CHRNA9 UP
UCHL1 UP
UCHL1-AS1 UP
PHOX2B UP
LINC00682 UP
COMMD8 UP
LNX1-AS1 UP
STAP1 UP
GNRHR UP
TMPRSS11D UP
TMPRSS11B UP
SULT1B1 UP
SMR3A UP
AFM UP
MRPL1 UP
LINC01094 UP
GK2 UP
FGF5 UP
HPSE UP
NKX6-1 UP
DSPP UP
IBSP UP
HPGDS UP
C4orf17 UP
MIR1255A UP
LOC101929577 UP
CASP6 UP
TRAM1L1 UP
SNORA24 UP
FABP2 UP
MAD2L1 UP
CCNA2 UP
PLK4 UP
ELMOD2 UP
SMARCA5-AS1 UP
SMAD1-AS1 UP
SMAD1-AS2 UP
MMAA UP
MAB21L2 UP
DEAR UP
TMEM154 UP
TIGD4 UP
ANXA2P1 UP
LOC340017 UP
CENPU UP
LINC01194 UP
CDH18 UP
DROSHA UP
NREP UP
HTR4 UP
HRH2 UP
TRIP13 UP
FASTKD3 UP
LOC101929505 UP
CDH10 UP
NPR3 UP
SKP2 UP
NUP155 UP
FYB UP
OXCT1 UP
MROH2B UP
NNT UP
IL31RA UP
DEPDC1B UP
MAP1B UP
POC5 UP
S100Z UP
HAPLN1 UP
LINC00461 UP
ARRDC3-AS1 UP
SLF1 UP
LNPEP UP
STARD4-AS1 UP
LOC101927379 UP
SNX24 UP
MEGF10 UP
TH2LCRR UP
MEIKIN UP
TRPC7 UP
CDC25C UP
PCDHAC1 UP
PCDHA11 UP
PCDHA12 UP
PCDHA1 UP
PCDHGB3 UP
JAKMIP2 UP
PDE6A UP
SLC36A1 UP
TIMD4 UP
LOC101927766 UP
FABP6 UP
ATP10B UP
DOCK2 UP
RANBP17 UP
LINC01484 UP
GPRIN1 UP
CPLX2 UP
SLC34A1 UP
ZNF454 UP
CCDC127 UP
CTD-3080P12.3 UP
SLC6A18 UP
SLC6A19 UP
LPCAT1 UP
LINC01377 UP
LINC01020 UP
CTD-2297D10.2 UP
FAM173B UP
ROPN1L-AS1 UP
LOC101929412 UP
CTD-2350J17.1 UP
PRDM9 UP
C5orf22 UP
MIR4279 UP
AMACR UP
RAD1 UP
UGT3A1 UP
LMBRD2 UP
NIPBL-AS1 UP
LOC153684 UP
LOC100132356 UP
EMB UP
GZMK UP
GZMA UP
SLC38A9 UP
GAPT UP
PART1 UP
HTR1A UP
NLN UP
CCNB1 UP
NAIP UP
PTCD2 UP
LOC102503427 UP
TMEM171 UP
SNORA47 UP
AGGF1 UP
LOC644936 UP
MTRNR2L2 UP
ANKRD34B UP
ZCCHC9 UP
SCARNA18 UP
TMEM167A UP
POU5F2 UP
MIR583 UP
GIN1 UP
LOC101927190 UP
MGC32805 UP
LMNB1 UP
CCNI2 UP
PITX1 UP
TIFAB UP
DCANP1 UP
LOC340074 UP
MYOT UP
WNT8A UP
KIF20A UP
SNORA74A UP
PCDHB2 UP
PCDHGB8P UP
PCDHGC4 UP
PCDHGA8 UP
LOC100505658 UP
LOC729080 UP
SPRY4-IT1 UP
PRELID2 UP
CSF1R UP
CAMK2A UP
SLC36A2 UP
SLC36A3 UP
SAP30L-AS1 UP
KIF4B UP
MED7 UP
HAVCR2 UP
FNDC9 UP
ADAM19 UP
UBLCP1 UP
LOC285627 UP
PTTG1 UP
ZBED8 UP
HMMR-AS1 UP
SPDL1 UP
C5orf58 UP
TLX3 UP
SNORA74B UP
LOC643201 UP
CDHR2 UP
HK3 UP
DOK3 UP
AACSP1 UP
GRM6 UP
ZNF879 UP
LINC00847 UP
ZFP62 UP
MIR8089 UP
SNORD95 UP
LINC00336 UP
GGNBP1 UP
F13A1 UP
CDKAL1 UP
DNAH8 UP
EYS UP
CEP162 UP
LOC101927768 UP
IRF4 UP
LOC100129461 UP
GCM2 UP
KDM1B UP
KIAA0319 UP
SLC17A1 UP
ZNRD1-AS1 UP
MSH5 UP
ZBTB9 UP
PACSIN1 UP
NUDT3 UP
GRM4 UP
MAPK14 UP
LHFPL5 UP
PPIL1 UP
LOC100505530 UP
LRFN2 UP
APOBEC2 UP
UBR2 UP
XPO5 UP
PTK7 UP
TDRD6 UP
MEP1A UP
LOC101926915 UP
TFAP2D UP
HCRTR2 UP
BEND6 UP
PRIM2 UP
COL12A1 UP
LOC101928540 UP
SNAP91 UP
ME1 UP
GPR63 UP
MMS22L UP
FBXL4 UP
LIN28B UP
SCML4 UP
LACE1 UP
CEP57L1 UP
CDK19 UP
SLC16A10 UP
LOC101927640 UP
DCBLD1 UP
ROS1 UP
SAMD3 UP
ECT2L UP
LOC100507477 UP
GRM1 UP
ADGB UP
OPRM1 UP
TFB1M UP
LPA UP
LOC285766 UP
LINC01600 UP
HTATSF1P2 UP
FAM217A UP
LOC101927950 UP
PIP5K1P1 UP
LINC00518 UP
ERVFRD-1 UP
LOC100130357 UP
RNF182 UP
LINC01108 UP
LOC101928491 UP
DEK UP
MRS2 UP
ACOT13 UP
TDP2 UP
LOC101928663 UP
SLC17A4 UP
SLC17A2 UP
HIST1H1A UP
HIST1H3B UP
HIST1H4B UP
HIST1H2BB UP
TRIM38 UP
HIST1H2AB UP
HIST1H4A UP
HIST1H3A UP
HIST1H3C UP
HIST1H1T UP
HIST1H1E UP
HIST1H2BF UP
HIST1H2BC UP
HIST1H2AC UP
HIST1H4C UP
HIST1H4D UP
HIST1H4E UP
HIST1H2BE UP
HIST1H1D UP
HIST1H2AE UP
HIST1H2BI UP
HIST1H2BH UP
HIST1H4H UP
HIST1H3F UP
HIST1H4F UP
HIST1H3E UP
HIST1H3G UP
BTN2A3P UP
HIST1H2AH UP
HIST1H2BJ UP
HIST1H2AG UP
HIST1H3H UP
HIST1H2AI UP
HIST1H2BM UP
HIST1H2BL UP
HIST1H2AJ UP
LINC01012 UP
HIST1H3I UP
HIST1H3J UP
HIST1H1B UP
HIST1H2AM UP
HIST1H2BN UP
HIST1H2AL UP
HIST1H4L UP
HIST1H2AK UP
HIST1H4J UP
HIST1H2BO UP
ZKSCAN4 UP
