	TNBC1	TNBC2	TNBC3	TNBC4	TNBC5	TNBC6	NonTNBC1	NonTNBC2	NonTNBC3	NonTNBC4	NonTNBC5	NonTNBC6	HER2_1	HER2_2	HER2_3	HER2_4	HER2_5	NBS1	NBS2	NBS3
MYLK3	38.9710661079949	4.73650248301007	88.5449883104421	6.53330289124675	15.6914803122209	19.0366348774543	8.57470925038173	10.7006062765933	21.6147593619819	19.7019180730473	11.6398841314611	24.4135823996371	8.26646093083522	8.23100853806435	86.93610793633	10.7763922405931	89.8533612135681	4.54878058426913	2.85414643896678	3.15864952904677
LONP2	1480.06343220666	1092.05872503894	1676.02744300646	888.541783755978	1250.90594040894	1538.92373388427	2177.64680816326	1968.28295289311	2059.78705454228	1663.50208554616	2254.20007799327	2150.12040552458	1862.42507511562	2117.87774951834	1655.8507271523	2467.44409955535	2164.47602768851	784.773540468583	916.021267630108	873.957869546515
CNEP1R1	153.788337434551	94.4125620752517	163.250045002019	166.999086737402	190.8591301887	127.25644414218	282.346343585607	183.371397999953	182.947658716622	161.442770837196	221.982208884192	222.812885891299	128.163066289616	199.85273479677	135.710655683977	196.527844811862	160.109507289413	40.0365864269605	76.5564673878965	66.1912157772125
C16orf78	19.9855330539975	1	68.7014576267419	3.2133211564987	7.78068322102502	15.4293079019634	7.49260792889863	10.7006062765933	14.4444082795534	8.87449182023046	14.0952420079521	7.16146905253608	1	1	2.16129875589635	2.39662746294187	5.13271447504968	1	1.4635366097417	1
CES5A	37.1629201028523	4.73650248301007	83.8759222672185	2.10666057824935	13.4312525718792	11.8219809264726	3.70525330370776	8.7604850212746	7.27405719712491	14.7803606854033	5.91071575298205	9.62605667355051	1	1.90387606725804	1	1	1	1	1.4635366097417	1
CX3CL1	1336.31582479782	524.110347621409	680.349109289031	553.223628546426	1901.85152962735	195.795656676506	37.7914449304255	112.556972180822	139.029258336748	143.725164241677	111.491104442096	225.277473512313	973.494687910114	530.671375413214	221.646763620307	362.726512901945	736.623176558842	6038.99667980648	9876.64747054684	13015.0662807172
CSNK2A2	286.687068812533	184.088621667493	235.620568671985	277.665144562337	363.766552324838	221.046945504942	241.226493369249	133.898305989328	174.88101374889	215.57990210128	190.062556489809	111.906442945649	298.924898164244	753.928764025951	300.615079021259	277.532237662491	205.569366514959	451.69513420218	488.640513448264	559.226768211495
KIFC3	459.365012303653	542.79286003646	184.260842196525	430.384304360748	567.187048955589	310.02767756705	180.628819366195	146.509094148899	133.651495024927	189.003492208002	124.586346450048	98.35121103007	131.796296755034	243.238786025156	155.452734534215	101.557177331815	211.768438227534	335.092343576194	286.075014991143	298.461905102645
LOC101927580	16.3692410437122	1	46.5233939214299	4.31998173474805	4.39034161051251	5.80976930065447	2.62315198222466	2.94012125531865	2.79258777060712	8.87449182023046	3.45535787649103	3.46458762101443	1	2.80775213451609	1	6.5865098517675	1	1	1	1
LINC00922	17.2733140462835	12.2095074490302	48.8579269430417	23.133211564987	5.52045548068334	7.01221162581808	4.78735462519086	15.5509094148899	23.407347132589	80.7292296798334	9.18452625497009	8.39376286304329	8.26646093083522	1	3.3225975117927	10.7763922405931	15.4645006626739	2.52090596468677	2.85414643896678	2.29518971742806
CMTM4	1324.56287576439	1282.62035167245	1722.71810343869	1075.56742148012	1552.64634374456	1886.42956585655	1551.65119368529	1122.39008557418	788.842325181828	1713.70197090013	1462.75638913766	389.172550309773	914.151923641626	1566.51334849093	2216.75802625024	2568.00127688716	2474.42961331723	441.048792449373	462.682463302729	407.689571272412
DPEP2	33.5466280925671	23.4190148980604	45.356127410624	27.5598538779844	26.9926190139292	29.8586158039268	19.9367731259543	23.3113944361645	29.6814043297139	30.5293443258642	41.9226312748504	20.7167009681155	42.1766119413996	7.32713247080631	35.8389626768906	56.865098517675	31.9953585628726	8.09756116853827	6.09890270715866	9.63459811618709
CDH3	2242.19697337427	3064.93203606826	604.476786086648	1405.35227379842	3816.26442569674	6336.6686112871	612.928297298695	164.940246074426	173.984719863587	107.305639573111	120.494083322563	51.5240462307958	384.911352512461	2389.04056969575	545.649116515389	93.1774125541637	1160.22641025143	1621.27182104631	1837.5320477966	1859.59724450927
WWP2	708.889161013334	243.872661395654	445.728540617046	585.316785315657	615.781945372935	887.199993645586	297.495762086371	284.257703276523	247.480818458479	312.042426899103	210.523872127234	208.025360165212	438.198732671919	1016.05282353078	414.422357099101	464.680317696702	265.493726403179	614.432072423665	452.02112127867	608.443977473762
IL34	179.102381506548	471.799312859269	48.8579269430417	132.692608811673	520.852380278585	127.25644414218	22.6420264296621	27.1916369468018	43.1258126092673	40.3724591011523	39.4672733983594	20.7167009681155	38.543381475982	67.8868289770953	16.0968838266526	6.5865098517675	48.5262164630713	152.583627813782	159.52952053166	130.518971742806
